event_type,commentary
WIN,A controlled drive to the victory.
WIN,Execution flawless under pressure.
WIN,That’s a statement performance.
WIN,Hard-earned triumph tonight.
PODIUM,Champagne sprays in parc fermé.
PODIUM,Emotions running high on the podium.
PODIUM,A season-defining result.
PODIUM,Relief etched across the team.
PODIUM,Celebrations well deserved.
LAPPED,Blue flags waving ahead.
LAPPED,Traffic complicates the pursuit.
LAPPED,Leader slices through efficiently.
LAPPED,Backmarker yields promptly.
LAPPED,That could influence the gap.
ENGINE,Power unit sounding healthy.
ENGINE,Strong acceleration out of slow corners.
ENGINE,Top speed competitive today.
ENGINE,Smooth delivery down the straight.
ENGINE,No signs of trouble mechanically.
INCIDENT,Contact in the midfield pack.
INCIDENT,Carbon fibre scattered on track.
INCIDENT,Front wing damage visible.
INCIDENT,He limps back toward the pits.
INCIDENT,That’s a costly collision.
RECOVERY,Claws back time steadily.
RECOVERY,Composed drive after early setback.
RECOVERY,Building rhythm once more.
RECOVERY,Confidence returning lap by lap.
RECOVERY,That’s resilience on display.
QUALI_PACE,That lap would challenge for pole.
QUALI_PACE,He’s extracting maximum grip.
QUALI_PACE,Precision braking into every corner.
QUALI_PACE,That’s a banker lap delivered.
QUALI_PACE,Strong benchmark set.
FINAL_LAP,Into the final tour of the circuit.
FINAL_LAP,Every corner now decisive.
FINAL_LAP,Last chance to make it count.
FINAL_LAP,No mistakes permitted.
FINAL_LAP,All eyes on the leader.
CHEQUERED,Chequered flag waves emphatically.
CHEQUERED,Season concludes under the lights.
CHEQUERED,A dramatic finale to remember.
CHEQUERED,Points secured at the final round.
CHEQUERED,That wraps up the Abu Dhabi Grand Prix.
